pickup_date,period,day_of_year,trip_count
2024-01-01,2024,1,45497
2024-01-02,2024,2,38943
2024-01-03,2024,3,43826
2024-01-04,2024,4,55019
2024-01-05,2024,5,53708
2024-01-06,2024,6,54974
2024-01-07,2024,7,36641
2024-01-08,2024,8,39977
2024-01-09,2024,9,50752
2024-01-10,2024,10,51593
2024-01-11,2024,11,58307
2024-01-12,2024,12,56452
2024-01-13,2024,13,63188
2024-01-14,2024,14,56555
2024-01-15,2024,15,42273
2024-01-16,2024,16,50254
2024-01-17,2024,17,62011
2024-01-18,2024,18,62145
2024-01-19,2024,19,51995
2024-01-20,2024,20,63841
2024-01-21,2024,21,46598
2024-01-22,2024,22,43637
2024-01-23,2024,23,55554
2024-01-24,2024,24,60118
2024-01-25,2024,25,63748
2024-01-26,2024,26,58548
2024-01-27,2024,27,68600
2024-01-28,2024,28,54073
2024-01-29,2024,29,43275
2024-01-30,2024,30,57372
2024-01-31,2024,31,58485
2024-02-01,2024,32,63304
2024-02-02,2024,33,58562
2024-02-03,2024,34,68791
2024-02-04,2024,35,52971
2024-02-05,2024,36,46860
2024-02-06,2024,37,58049
2024-02-07,2024,38,59514
2024-02-08,2024,39,65875
2024-02-09,2024,40,62341
2024-02-10,2024,41,68832
2024-02-11,2024,42,54676
2024-02-12,2024,43,49136
2024-02-13,2024,44,38513
2024-02-14,2024,45,68490
2024-02-15,2024,46,70397
2024-02-16,2024,47,58072
2024-02-17,2024,48,65782
2024-02-18,2024,49,57442
2024-02-19,2024,50,41176
2024-02-20,2024,51,54100
2024-02-21,2024,52,59689
2024-02-22,2024,53,66708
2024-02-23,2024,54,57534
2024-02-24,2024,55,73992
2024-02-25,2024,56,55807
2024-02-26,2024,57,42699
2024-02-27,2024,58,64960
2024-02-28,2024,59,62284
2024-02-29,2024,60,72851
2024-03-01,2024,61,63460
2024-03-02,2024,62,71462
2024-03-03,2024,63,55007
2024-03-04,2024,64,48996
2024-03-05,2024,65,63012
2024-03-06,2024,66,73125
2024-03-07,2024,67,68211
2024-03-08,2024,68,64795
2024-03-09,2024,69,82421
2024-03-10,2024,70,57197
2024-03-11,2024,71,50006
2024-03-12,2024,72,61363
2024-03-13,2024,73,67957
2024-03-14,2024,74,77976
2024-03-15,2024,75,73392
2024-03-16,2024,76,81544
2024-03-17,2024,77,59466
2024-03-18,2024,78,50745
2024-03-19,2024,79,63559
2024-03-20,2024,80,71161
2024-03-21,2024,81,78703
2024-03-22,2024,82,67868
2024-03-23,2024,83,76147
2024-03-24,2024,84,59483
2024-03-25,2024,85,49536
2024-03-26,2024,86,65688
2024-03-27,2024,87,72693
2024-03-28,2024,88,76577
2024-03-29,2024,89,69792
2024-03-30,2024,90,71203
2024-03-31,2024,91,57640
2024-04-01,2024,92,49662
2024-04-02,2024,93,72171
2024-04-03,2024,94,78489
2024-04-04,2024,95,78996
2024-04-05,2024,96,75267
2024-04-06,2024,97,80543
2024-04-07,2024,98,61823
2024-04-08,2024,99,50591
2024-04-09,2024,100,66535
2024-04-10,2024,101,68463
2024-04-11,2024,102,82873
2024-04-12,2024,103,69105
2024-04-13,2024,104,78945
2024-04-14,2024,105,65687
2024-04-15,2024,106,51942
2024-04-16,2024,107,62028
2024-04-17,2024,108,73145
2024-04-18,2024,109,77213
2024-04-19,2024,110,66108
2024-04-20,2024,111,79550
2024-04-21,2024,112,60998
2024-04-22,2024,113,45421
2024-04-23,2024,114,54695
2024-04-24,2024,115,60973
2024-04-25,2024,116,70260
2024-04-26,2024,117,62868
2024-04-27,2024,118,71309
2024-04-28,2024,119,55984
2024-04-29,2024,120,50131
2024-04-30,2024,121,62167
2024-05-01,2024,122,68809
2024-05-02,2024,123,76341
2024-05-03,2024,124,71613
2024-05-04,2024,125,81445
2024-05-05,2024,126,69350
2024-05-06,2024,127,52828
2024-05-07,2024,128,65454
2024-05-08,2024,129,72316
2024-05-09,2024,130,77313
2024-05-10,2024,131,75391
2024-05-11,2024,132,78418
2024-05-12,2024,133,63452
2024-05-13,2024,134,57386
2024-05-14,2024,135,72549
2024-05-15,2024,136,78177
2024-05-16,2024,137,81586
2024-05-17,2024,138,73714
2024-05-18,2024,139,81915
2024-05-19,2024,140,65346
2024-05-20,2024,141,54956
2024-05-21,2024,142,67194
2024-05-22,2024,143,73337
2024-05-23,2024,144,67739
2024-05-24,2024,145,58246
2024-05-25,2024,146,54155
2024-05-26,2024,147,49515
2024-05-27,2024,148,40339
2024-05-28,2024,149,53312
2024-05-29,2024,150,65155
2024-05-30,2024,151,67037
2024-05-31,2024,152,63080
2024-06-01,2024,153,76517
2024-06-02,2024,154,59242
2024-06-03,2024,155,56084
2024-06-04,2024,156,68749
2024-06-05,2024,157,76164
2024-06-06,2024,158,80190
2024-06-07,2024,159,72458
2024-06-08,2024,160,78261
2024-06-09,2024,161,59784
2024-06-10,2024,162,55819
2024-06-11,2024,163,66910
2024-06-12,2024,164,70656
2024-06-13,2024,165,75154
2024-06-14,2024,166,70808
2024-06-15,2024,167,69940
2024-06-16,2024,168,60583
2024-06-17,2024,169,53886
2024-06-18,2024,170,70660
2024-06-19,2024,171,58329
2024-06-20,2024,172,72722
2024-06-21,2024,173,67808
2024-06-22,2024,174,74520
2024-06-23,2024,175,62674
2024-06-24,2024,176,60144
2024-06-25,2024,177,73598
2024-06-26,2024,178,78234
2024-06-27,2024,179,73818
2024-06-28,2024,180,64219
2024-06-29,2024,181,69828
2024-06-30,2024,182,55174
2025-01-01,2025,1,49659
2025-01-02,2025,2,45100
2025-01-03,2025,3,49539
2025-01-04,2025,4,56671
2025-01-05,2025,5,43513
2025-01-06,2025,6,39388
2025-01-07,2025,7,51766
2025-01-08,2025,8,60924
2025-01-09,2025,9,63405
2025-01-10,2025,10,58127
2025-01-11,2025,11,72337
2025-01-12,2025,12,58527
2025-01-13,2025,13,52501
2025-01-14,2025,14,67677
2025-01-15,2025,15,69620
2025-01-16,2025,16,77125
2025-01-17,2025,17,63394
2025-01-18,2025,18,70887
2025-01-19,2025,19,69041
2025-01-20,2025,20,42484
2025-01-21,2025,21,60028
2025-01-22,2025,22,69175
2025-01-23,2025,23,75065
2025-01-24,2025,24,68490
2025-01-25,2025,25,83299
2025-01-26,2025,26,59082
2025-01-27,2025,27,46479
2025-01-28,2025,28,61301
2025-01-29,2025,29,66598
2025-01-30,2025,30,73452
2025-01-31,2025,31,69208
2025-02-01,2025,32,89466
2025-02-02,2025,33,69690
2025-02-03,2025,34,49176
2025-02-04,2025,35,65502
2025-02-05,2025,36,71078
2025-02-06,2025,37,70082
2025-02-07,2025,38,74532
2025-02-08,2025,39,87790
2025-02-09,2025,40,64827
2025-02-10,2025,41,53494
2025-02-11,2025,42,68031
2025-02-12,2025,43,70475
2025-02-13,2025,44,78039
2025-02-14,2025,45,81423
2025-02-15,2025,46,88952
2025-02-16,2025,47,65077
2025-02-17,2025,48,48644
2025-02-18,2025,49,61319
2025-02-19,2025,50,67338
2025-02-20,2025,51,78518
2025-02-21,2025,52,70471
2025-02-22,2025,53,83247
2025-02-23,2025,54,59888
2025-02-24,2025,55,46031
2025-02-25,2025,56,59969
2025-02-26,2025,57,68981
2025-02-27,2025,58,77733
2025-02-28,2025,59,76790
2025-03-01,2025,60,96418
2025-03-02,2025,61,69453
2025-03-03,2025,62,55231
2025-03-04,2025,63,67018
2025-03-05,2025,64,76080
2025-03-06,2025,65,79048
2025-03-07,2025,66,70442
2025-03-08,2025,67,86310
2025-03-09,2025,68,62759
2025-03-10,2025,69,50645
2025-03-11,2025,70,66735
2025-03-12,2025,71,75967
2025-03-13,2025,72,85662
2025-03-14,2025,73,77022
2025-03-15,2025,74,90748
2025-03-16,2025,75,63793
2025-03-17,2025,76,55574
2025-03-18,2025,77,68697
2025-03-19,2025,78,72677
2025-03-20,2025,79,86266
2025-03-21,2025,80,72451
2025-03-22,2025,81,85087
2025-03-23,2025,82,67062
2025-03-24,2025,83,55145
2025-03-25,2025,84,65662
2025-03-26,2025,85,73468
2025-03-27,2025,86,79093
2025-03-28,2025,87,73137
2025-03-29,2025,88,94378
2025-03-30,2025,89,71107
2025-03-31,2025,90,55905
2025-04-01,2025,91,66715
2025-04-02,2025,92,75328
2025-04-03,2025,93,75353
2025-04-04,2025,94,70906
2025-04-05,2025,95,87516
2025-04-06,2025,96,65819
2025-04-07,2025,97,57229
2025-04-08,2025,98,70175
2025-04-09,2025,99,74460
2025-04-10,2025,100,79086
2025-04-11,2025,101,79825
2025-04-12,2025,102,85175
2025-04-13,2025,103,59096
2025-04-14,2025,104,49895
2025-04-15,2025,105,66015
2025-04-16,2025,106,73376
2025-04-17,2025,107,74618
2025-04-18,2025,108,67576
2025-04-19,2025,109,76978
2025-04-20,2025,110,60895
2025-04-21,2025,111,52870
2025-04-22,2025,112,64501
2025-04-23,2025,113,72762
2025-04-24,2025,114,79805
2025-04-25,2025,115,76174
2025-04-26,2025,116,91930
2025-04-27,2025,117,75166
2025-04-28,2025,118,52751
2025-04-29,2025,119,65259
2025-04-30,2025,120,73689
2025-05-01,2025,121,83569
2025-05-02,2025,122,75775
2025-05-03,2025,123,91958
2025-05-04,2025,124,74006
2025-05-05,2025,125,64323
2025-05-06,2025,126,72730
2025-05-07,2025,127,77542
2025-05-08,2025,128,86868
2025-05-09,2025,129,80517
2025-05-10,2025,130,89283
2025-05-11,2025,131,76362
2025-05-12,2025,132,61649
2025-05-13,2025,133,78080
2025-05-14,2025,134,83380
2025-05-15,2025,135,87181
2025-05-16,2025,136,81396
2025-05-17,2025,137,96320
2025-05-18,2025,138,71883
2025-05-19,2025,139,62046
2025-05-20,2025,140,73947
2025-05-21,2025,141,82895
2025-05-22,2025,142,77544
2025-05-23,2025,143,63230
2025-05-24,2025,144,59647
2025-05-25,2025,145,57302
2025-05-26,2025,146,46191
2025-05-27,2025,147,59105
2025-05-28,2025,148,77541
2025-05-29,2025,149,75140
2025-05-30,2025,150,73311
2025-05-31,2025,151,83534
2025-06-01,2025,152,67319
2025-06-02,2025,153,54398
2025-06-03,2025,154,72148
2025-06-04,2025,155,79959
2025-06-05,2025,156,90275
2025-06-06,2025,157,80086
2025-06-07,2025,158,88202
2025-06-08,2025,159,71769
2025-06-09,2025,160,62747
2025-06-10,2025,161,72965
2025-06-11,2025,162,79144
2025-06-12,2025,163,87878
2025-06-13,2025,164,75175
2025-06-14,2025,165,80668
2025-06-15,2025,166,65388
2025-06-16,2025,167,58427
2025-06-17,2025,168,71519
2025-06-18,2025,169,83429
2025-06-19,2025,170,74967
2025-06-20,2025,171,69849
2025-06-21,2025,172,85628
2025-06-22,2025,173,69403
2025-06-23,2025,174,67500
2025-06-24,2025,175,80186
2025-06-25,2025,176,83564
2025-06-26,2025,177,81368
2025-06-27,2025,178,72032
2025-06-28,2025,179,80530
2025-06-29,2025,180,68448
2025-06-30,2025,181,57647
